modelo,clase_modelo,ruta_archivo,hidden_dims,dropout,learning_rate,weight_decay,seed,val_rmse_log,test_rmse_dollars,descripcion,fecha_registro
grid_kfold_128_64_32_drop03_lr0.001_wd1e-05,MLP,,"[128, 64, 32]",0.3,0.001,1e-05,42.0,0.5403983034623837,99681.77074982536,std entre folds: 0.1427,2026-08-19 03:24
greedy_caso1_hidden_dims_64_32_drop01_lr0.001_wd0.0001,MLP,,"[64, 32]",0.1,0.001,0.0001,42.0,0.5280395591531187,,greedy - ajustando hidden_dims,2026-08-19 12:04
greedy_caso1_hidden_dims_128_64_32_drop01_lr0.001_wd0.0001,MLP,,"[128, 64, 32]",0.1,0.001,0.0001,42.0,0.2972028661874217,,greedy - ajustando hidden_dims,2026-08-19 12:04
greedy_caso1_hidden_dims_256_128_64_drop01_lr0.001_wd0.0001,MLP,,"[256, 128, 64]",0.1,0.001,0.0001,42.0,0.2809880867206124,,greedy - ajustando hidden_dims,2026-08-19 12:04
greedy_caso1_dropout_256_128_64_drop01_lr0.001_wd0.0001,MLP,,"[256, 128, 64]",0.1,0.001,0.0001,42.0,0.2809880867206124,,greedy - ajustando dropout,2026-08-19 12:04
greedy_caso1_dropout_256_128_64_drop02_lr0.001_wd0.0001,MLP,,"[256, 128, 64]",0.2,0.001,0.0001,42.0,0.4206968918022474,,greedy - ajustando dropout,2026-08-19 12:04
greedy_caso1_dropout_256_128_64_drop03_lr0.001_wd0.0001,MLP,,"[256, 128, 64]",0.3,0.001,0.0001,42.0,0.3650390651873647,,greedy - ajustando dropout,2026-08-19 12:04
greedy_caso1_learning_rate_256_128_64_drop01_lr0.001_wd0.0001,MLP,,"[256, 128, 64]",0.1,0.001,0.0001,42.0,0.2809880867206124,,greedy - ajustando learning_rate,2026-08-19 12:04
greedy_caso1_learning_rate_256_128_64_drop01_lr0.0005_wd0.0001,MLP,,"[256, 128, 64]",0.1,0.0005,0.0001,42.0,0.3118156250703853,,greedy - ajustando learning_rate,2026-08-19 12:05
greedy_caso1_weight_decay_256_128_64_drop01_lr0.001_wd0.0001,MLP,,"[256, 128, 64]",0.1,0.001,0.0001,42.0,0.2809880867206124,,greedy - ajustando weight_decay,2026-08-19 12:05
greedy_caso1_weight_decay_256_128_64_drop01_lr0.001_wd1e-05,MLP,,"[256, 128, 64]",0.1,0.001,1e-05,42.0,0.2788924866529652,,greedy - ajustando weight_decay,2026-08-19 12:05
greedy_caso1_FINAL_256_128_64_drop01_lr0.001_wd1e-05,MLP,modelos\greedy_caso1_FINAL_256_128_64_drop01_lr0.001_wd1e-05.pt,"[256, 128, 64]",0.1,0.001,1e-05,,0.2788924866529652,,combinación final greedy,2026-08-19 12:05
greedy_caso2_hidden_dims_128_64_32_drop01_lr0.001_wd0.0001,MLP,,"[128, 64, 32]",0.1,0.001,0.0001,42.0,0.2972028661874217,,greedy - ajustando hidden_dims,2026-08-19 12:05
greedy_caso2_hidden_dims_256_128_64_drop01_lr0.001_wd0.0001,MLP,,"[256, 128, 64]",0.1,0.001,0.0001,42.0,0.2809880867206124,,greedy - ajustando hidden_dims,2026-08-19 12:05
greedy_caso2_hidden_dims_256_128_64_32_drop01_lr0.001_wd0.0001,MLP,,"[256, 128, 64, 32]",0.1,0.001,0.0001,42.0,0.26271484614358,,greedy - ajustando hidden_dims,2026-08-19 12:05
greedy_caso2_dropout_256_128_64_32_drop01_lr0.001_wd0.0001,MLP,,"[256, 128, 64, 32]",0.1,0.001,0.0001,42.0,0.26271484614358,,greedy - ajustando dropout,2026-08-19 12:05
greedy_caso2_dropout_256_128_64_32_drop015_lr0.001_wd0.0001,MLP,,"[256, 128, 64, 32]",0.15,0.001,0.0001,42.0,0.2800787516488939,,greedy - ajustando dropout,2026-08-19 12:06
greedy_caso2_dropout_256_128_64_32_drop02_lr0.001_wd0.0001,MLP,,"[256, 128, 64, 32]",0.2,0.001,0.0001,42.0,0.3104947844188591,,greedy - ajustando dropout,2026-08-19 12:06
greedy_caso2_dropout_256_128_64_32_drop025_lr0.001_wd0.0001,MLP,,"[256, 128, 64, 32]",0.25,0.001,0.0001,42.0,0.3469352773969029,,greedy - ajustando dropout,2026-08-19 12:06
greedy_caso2_learning_rate_256_128_64_32_drop01_lr0.001_wd0.0001,MLP,,"[256, 128, 64, 32]",0.1,0.001,0.0001,42.0,0.26271484614358,,greedy - ajustando learning_rate,2026-08-19 12:06
greedy_caso2_learning_rate_256_128_64_32_drop01_lr0.002_wd0.0001,MLP,,"[256, 128, 64, 32]",0.1,0.002,0.0001,42.0,0.1749354464814852,,greedy - ajustando learning_rate,2026-08-19 12:06
greedy_caso2_learning_rate_256_128_64_32_drop01_lr0.0005_wd0.0001,MLP,,"[256, 128, 64, 32]",0.1,0.0005,0.0001,42.0,0.2191103673242497,,greedy - ajustando learning_rate,2026-08-19 12:06
greedy_caso2_weight_decay_256_128_64_32_drop01_lr0.002_wd0.0001,MLP,,"[256, 128, 64, 32]",0.1,0.002,0.0001,42.0,0.1749354464814852,,greedy - ajustando weight_decay,2026-08-19 12:06
greedy_caso2_weight_decay_256_128_64_32_drop01_lr0.002_wd0.0005,MLP,,"[256, 128, 64, 32]",0.1,0.002,0.0005,42.0,0.2354285844895482,,greedy - ajustando weight_decay,2026-08-19 12:07
greedy_caso2_weight_decay_256_128_64_32_drop01_lr0.002_wd1e-05,MLP,,"[256, 128, 64, 32]",0.1,0.002,1e-05,42.0,0.214061360779629,,greedy - ajustando weight_decay,2026-08-19 12:07
greedy_caso2_FINAL_256_128_64_32_drop01_lr0.002_wd0.0001,MLP,modelos\greedy_caso2_FINAL_256_128_64_32_drop01_lr0.002_wd0.0001.pt,"[256, 128, 64, 32]",0.1,0.002,0.0001,,0.1749354464814852,,combinación final greedy,2026-08-19 12:07
MLP-SinBN,MLP_sinBN,modelos\modelo_mlp_sinbn.pt,,,,,,0.3001161758365279,54661.7911354127,"MLP sin BatchNorm, hiperparámetros de grid_kfold",2026-08-19 12:14
MLP-ConBN,MLP,modelos\modelo_mlp_bn.pt,,,,,,0.3001161758365279,96376.06485153583,"MLP con BatchNorm, hiperparámetros de grid_kfold",2026-08-19 12:14
MLP-LinearSkip,MLP_LinearSkip,modelos\modelo_mlp_linearskip.pt,,,,,,0.4597056815136809,88290.87060739807,"MLP con skip lineal (Wide & Deep) — arquitectura chica + regularización fuerte, diseñada para el régimen de pocos datos/muchas features",2026-08-19 12:43
MLP-sklearn,MLP_sklearn,modelos\modelo_mlp_sklearn.pt,,,,,,,22140.96731956214,"MLP (sklearn, solver=lbfgs, alpha=7.0) — arquitectura y regularización adecuadas para el régimen de pocos datos de este dataset",2026-08-19 13:42
MLP-LBFGS,MLP_LBFGS,modelos\modelo_mlp_lbfgs.pt,,,,,,0.10865847867699305,21821.30794271753,"MLP (PyTorch, LBFGS full-batch, alpha_L2=7.0) — réplica corregida del MLPRegressor sklearn",2026-08-20 02:53
